"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Jul 25 18:15:22 GMT 2021","Sun Jul 25 18:15:33 GMT 2021","11230","python-tests","test_registration","","","","test_reg",""
"broken","Sun Jul 25 18:15:14 GMT 2021","Sun Jul 25 18:15:14 GMT 2021","0","python-tests","test_login","","","","test_decline_cookies",""
"broken","Sun Jul 25 18:15:19 GMT 2021","Sun Jul 25 18:15:19 GMT 2021","0","python-tests","test_login","","","","test_logging_in",""
