"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 11 08:44:24 GMT 2021","Wed Aug 11 08:44:31 GMT 2021","6524","python-tests","test_login","","","","test_logging_in",""
"passed","Wed Aug 11 08:44:33 GMT 2021","Wed Aug 11 08:44:41 GMT 2021","7644","python-tests","test_login","","","","test_new_article",""
"passed","Wed Aug 11 08:44:22 GMT 2021","Wed Aug 11 08:44:24 GMT 2021","2180","python-tests","test_login","","","","test_decline_cookies",""
"passed","Wed Aug 11 08:44:31 GMT 2021","Wed Aug 11 08:44:33 GMT 2021","2097","python-tests","test_login","","","","test_paginate",""
"passed","Wed Aug 11 08:44:51 GMT 2021","Wed Aug 11 08:44:51 GMT 2021","1","python-tests","test_login","","","","test_logout",""
"passed","Wed Aug 11 08:44:41 GMT 2021","Wed Aug 11 08:44:47 GMT 2021","6294","python-tests","test_login","","","","test_editing",""
"passed","Wed Aug 11 08:44:47 GMT 2021","Wed Aug 11 08:44:51 GMT 2021","4324","python-tests","test_login","","","","test_delete",""
"broken","Wed Aug 11 08:44:51 GMT 2021","Wed Aug 11 08:45:04 GMT 2021","12286","python-tests","test_registration","","","","test_reg",""
