"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 25 06:47:36 GMT 2021","Sun Jul 25 06:47:43 GMT 2021","7537","python-tests","test_registration","","","","test_reg",""
"broken","Sun Jul 25 06:47:11 GMT 2021","Sun Jul 25 06:47:22 GMT 2021","11467","python-tests","test_login","","","","test_decline_cookies",""
"broken","Sun Jul 25 06:47:22 GMT 2021","Sun Jul 25 06:47:34 GMT 2021","11213","python-tests","test_login","","","","test_logging_in",""
