"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Jul 25 06:53:53 GMT 2021","Sun Jul 25 06:54:14 GMT 2021","21013","python-tests","test_login","","","","test_decline_cookies",""
"passed","Sun Jul 25 06:54:38 GMT 2021","Sun Jul 25 06:54:45 GMT 2021","7498","python-tests","test_registration","","","","test_reg",""
"broken","Sun Jul 25 06:54:14 GMT 2021","Sun Jul 25 06:54:36 GMT 2021","21456","python-tests","test_login","","","","test_logging_in",""
