"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 12 08:10:57 GMT 2021","Thu Aug 12 08:11:10 GMT 2021","12730","python-tests","test_002_registration","","","","test_reg",""
"passed","Thu Aug 12 08:11:37 GMT 2021","Thu Aug 12 08:11:41 GMT 2021","4277","python-tests","test_009_delete_article","","","","test_delete",""
"passed","Thu Aug 12 08:11:21 GMT 2021","Thu Aug 12 08:11:23 GMT 2021","2079","python-tests","test_006_paginate","","","","test_paginate",""
"passed","Thu Aug 12 08:11:23 GMT 2021","Thu Aug 12 08:11:31 GMT 2021","7569","python-tests","test_007_new_article","","","","test_new_article",""
"passed","Thu Aug 12 08:11:15 GMT 2021","Thu Aug 12 08:11:21 GMT 2021","6256","python-tests","test_004_login","","","","test_logging_in",""
"passed","Thu Aug 12 08:11:21 GMT 2021","Thu Aug 12 08:11:21 GMT 2021","10","python-tests","test_005_list_articles","","","","test_list_articles",""
"passed","Thu Aug 12 08:11:10 GMT 2021","Thu Aug 12 08:11:15 GMT 2021","5218","python-tests","test_003_logout","","","","test_logout",""
"passed","Thu Aug 12 08:10:55 GMT 2021","Thu Aug 12 08:10:57 GMT 2021","2132","python-tests","test_001_decline_cookies","","","","test_decline_cookies",""
"passed","Thu Aug 12 08:11:31 GMT 2021","Thu Aug 12 08:11:37 GMT 2021","6220","python-tests","test_008_edit_article","","","","test_editing",""
