"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 12 19:31:02 GMT 2021","Thu Aug 12 19:31:07 GMT 2021","5318","python-tests","test_003_logout","","","","test_logout",""
"passed","Thu Aug 12 19:30:49 GMT 2021","Thu Aug 12 19:31:02 GMT 2021","13267","python-tests","test_002_registration","","","","test_reg",""
"passed","Thu Aug 12 19:31:29 GMT 2021","Thu Aug 12 19:31:34 GMT 2021","4293","python-tests","test_009_delete_article","","","","test_delete",""
"passed","Thu Aug 12 19:31:13 GMT 2021","Thu Aug 12 19:31:13 GMT 2021","9","python-tests","test_005_list_articles","","","","test_list_articles",""
"passed","Thu Aug 12 19:31:13 GMT 2021","Thu Aug 12 19:31:16 GMT 2021","2087","python-tests","test_006_paginate","","","","test_paginate",""
"passed","Thu Aug 12 19:31:16 GMT 2021","Thu Aug 12 19:31:23 GMT 2021","7616","python-tests","test_007_new_article","","","","test_new_article",""
"passed","Thu Aug 12 19:31:07 GMT 2021","Thu Aug 12 19:31:13 GMT 2021","6300","python-tests","test_004_login","","","","test_logging_in",""
"passed","Thu Aug 12 19:31:23 GMT 2021","Thu Aug 12 19:31:29 GMT 2021","6249","python-tests","test_008_edit_article","","","","test_editing",""
"passed","Thu Aug 12 19:30:46 GMT 2021","Thu Aug 12 19:30:49 GMT 2021","2242","python-tests","test_001_decline_cookies","","","","test_decline_cookies",""
