"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Jul 25 19:03:45 GMT 2021","Sun Jul 25 19:03:46 GMT 2021","1013","python-tests","test_login","","","","test_logging_in",""
"broken","Sun Jul 25 19:03:47 GMT 2021","Sun Jul 25 19:03:58 GMT 2021","11162","python-tests","test_registration","","","","test_reg",""
"failed","Sun Jul 25 19:03:44 GMT 2021","Sun Jul 25 19:03:45 GMT 2021","1020","python-tests","test_login","","","","test_decline_cookies",""
