"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 13 08:16:53 GMT 2021","Fri Aug 13 08:16:53 GMT 2021","10","python-tests","test_005_list_articles","","","","test_list_articles",""
"passed","Fri Aug 13 08:17:09 GMT 2021","Fri Aug 13 08:17:13 GMT 2021","4262","python-tests","test_009_delete_article","","","","test_delete",""
"passed","Fri Aug 13 08:16:41 GMT 2021","Fri Aug 13 08:16:47 GMT 2021","5224","python-tests","test_003_logout","","","","test_logout",""
"passed","Fri Aug 13 08:16:53 GMT 2021","Fri Aug 13 08:16:55 GMT 2021","2079","python-tests","test_006_paginate","","","","test_paginate",""
"passed","Fri Aug 13 08:17:03 GMT 2021","Fri Aug 13 08:17:09 GMT 2021","6231","python-tests","test_008_edit_article","","","","test_editing",""
"passed","Fri Aug 13 08:16:55 GMT 2021","Fri Aug 13 08:17:03 GMT 2021","7528","python-tests","test_007_new_article","","","","test_new_article",""
"broken","Fri Aug 13 08:17:13 GMT 2021","Fri Aug 13 08:17:13 GMT 2021","0","python-tests","test_010_posting_from_file","","","","test_posting_from_file",""
"passed","Fri Aug 13 08:16:27 GMT 2021","Fri Aug 13 08:16:29 GMT 2021","2101","python-tests","test_001_decline_cookies","","","","test_decline_cookies",""
"passed","Fri Aug 13 08:16:47 GMT 2021","Fri Aug 13 08:16:53 GMT 2021","6251","python-tests","test_004_login","","","","test_logging_in",""
"passed","Fri Aug 13 08:16:29 GMT 2021","Fri Aug 13 08:16:41 GMT 2021","12563","python-tests","test_002_registration","","","","test_reg",""
