"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 13 20:10:07 GMT 2021","Fri Aug 13 20:10:11 GMT 2021","4369","python-tests","test_009_delete_article","","","","test_delete",""
"passed","Fri Aug 13 20:09:53 GMT 2021","Fri Aug 13 20:10:01 GMT 2021","7670","python-tests","test_007_new_article","","","","test_new_article",""
"passed","Fri Aug 13 20:09:51 GMT 2021","Fri Aug 13 20:09:51 GMT 2021","11","python-tests","test_005_list_articles","","","","test_list_articles",""
"passed","Fri Aug 13 20:09:24 GMT 2021","Fri Aug 13 20:09:27 GMT 2021","2141","python-tests","test_001_decline_cookies","","","","test_decline_cookies",""
"passed","Fri Aug 13 20:09:39 GMT 2021","Fri Aug 13 20:09:45 GMT 2021","5255","python-tests","test_003_logout","","","","test_logout",""
"passed","Fri Aug 13 20:10:32 GMT 2021","Fri Aug 13 20:10:34 GMT 2021","1343","python-tests","test_011_writing_to_file","","","","test_writing_to_file",""
"passed","Fri Aug 13 20:09:45 GMT 2021","Fri Aug 13 20:09:51 GMT 2021","6300","python-tests","test_004_login","","","","test_logging_in",""
"passed","Fri Aug 13 20:10:11 GMT 2021","Fri Aug 13 20:10:32 GMT 2021","21128","python-tests","test_010_posting_from_file","","","","test_posting_from_file",""
"passed","Fri Aug 13 20:09:51 GMT 2021","Fri Aug 13 20:09:53 GMT 2021","2086","python-tests","test_006_paginate","","","","test_paginate",""
"passed","Fri Aug 13 20:09:27 GMT 2021","Fri Aug 13 20:09:39 GMT 2021","12727","python-tests","test_002_registration","","","","test_reg",""
"passed","Fri Aug 13 20:10:01 GMT 2021","Fri Aug 13 20:10:07 GMT 2021","6321","python-tests","test_008_edit_article","","","","test_editing",""
