"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 15 18:24:27 GMT 2021","Sun Aug 15 18:24:48 GMT 2021","20898","python-tests","test_010_posting_from_file","","","","test_posting_from_file",""
"passed","Sun Aug 15 18:23:42 GMT 2021","Sun Aug 15 18:23:55 GMT 2021","12595","python-tests","test_002_registration","","","","test_reg",""
"passed","Sun Aug 15 18:24:22 GMT 2021","Sun Aug 15 18:24:27 GMT 2021","4271","python-tests","test_009_delete_article","","","","test_delete",""
"passed","Sun Aug 15 18:24:00 GMT 2021","Sun Aug 15 18:24:07 GMT 2021","6262","python-tests","test_004_login","","","","test_logging_in",""
"passed","Sun Aug 15 18:24:16 GMT 2021","Sun Aug 15 18:24:22 GMT 2021","6217","python-tests","test_008_edit_article","","","","test_editing",""
"passed","Sun Aug 15 18:24:07 GMT 2021","Sun Aug 15 18:24:09 GMT 2021","2080","python-tests","test_006_paginate","","","","test_paginate",""
"passed","Sun Aug 15 18:24:07 GMT 2021","Sun Aug 15 18:24:07 GMT 2021","9","python-tests","test_005_list_articles","","","","test_list_articles",""
"passed","Sun Aug 15 18:23:55 GMT 2021","Sun Aug 15 18:24:00 GMT 2021","5214","python-tests","test_003_logout","","","","test_logout",""
"passed","Sun Aug 15 18:23:40 GMT 2021","Sun Aug 15 18:23:42 GMT 2021","2109","python-tests","test_001_decline_cookies","","","","test_decline_cookies",""
"passed","Sun Aug 15 18:24:09 GMT 2021","Sun Aug 15 18:24:16 GMT 2021","7554","python-tests","test_007_new_article","","","","test_new_article",""
"passed","Sun Aug 15 18:24:48 GMT 2021","Sun Aug 15 18:24:49 GMT 2021","1270","python-tests","test_011_writing_to_file","","","","test_writing_to_file",""
