"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 15 17:03:54 GMT 2021","Sun Aug 15 17:03:56 GMT 2021","2083","python-tests","test_006_paginate","","","","test_paginate",""
"passed","Sun Aug 15 17:03:54 GMT 2021","Sun Aug 15 17:03:54 GMT 2021","9","python-tests","test_005_list_articles","","","","test_list_articles",""
"passed","Sun Aug 15 17:04:14 GMT 2021","Sun Aug 15 17:04:35 GMT 2021","20908","python-tests","test_010_posting_from_file","","","","test_posting_from_file",""
"passed","Sun Aug 15 17:03:28 GMT 2021","Sun Aug 15 17:03:30 GMT 2021","2075","python-tests","test_001_decline_cookies","","","","test_decline_cookies",""
"passed","Sun Aug 15 17:04:03 GMT 2021","Sun Aug 15 17:04:10 GMT 2021","6223","python-tests","test_008_edit_article","","","","test_editing",""
"passed","Sun Aug 15 17:04:10 GMT 2021","Sun Aug 15 17:04:14 GMT 2021","4269","python-tests","test_009_delete_article","","","","test_delete",""
"passed","Sun Aug 15 17:03:30 GMT 2021","Sun Aug 15 17:03:42 GMT 2021","12431","python-tests","test_002_registration","","","","test_reg",""
"passed","Sun Aug 15 17:04:35 GMT 2021","Sun Aug 15 17:04:36 GMT 2021","1274","python-tests","test_011_writing_to_file","","","","test_writing_to_file",""
"passed","Sun Aug 15 17:03:56 GMT 2021","Sun Aug 15 17:04:03 GMT 2021","7538","python-tests","test_007_new_article","","","","test_new_article",""
"passed","Sun Aug 15 17:03:42 GMT 2021","Sun Aug 15 17:03:48 GMT 2021","5212","python-tests","test_003_logout","","","","test_logout",""
"passed","Sun Aug 15 17:03:48 GMT 2021","Sun Aug 15 17:03:54 GMT 2021","6262","python-tests","test_004_login","","","","test_logging_in",""
