"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Jul 24 21:31:49 GMT 2021","Sat Jul 24 21:31:50 GMT 2021","1020","python-tests","test_login","","","","test_decline_cookies",""
"broken","Sat Jul 24 21:32:03 GMT 2021","Sat Jul 24 21:32:10 GMT 2021","7394","python-tests","test_registration","","","","test_reg",""
"broken","Sat Jul 24 21:31:50 GMT 2021","Sat Jul 24 21:32:01 GMT 2021","11191","python-tests","test_login","","","","test_logging_in",""
