"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Jul 24 20:45:27 GMT 2021","Sat Jul 24 20:45:28 GMT 2021","1098","python-tests","test_login","","","","test_decline_cookies",""
"broken","Sat Jul 24 20:45:29 GMT 2021","Sat Jul 24 20:45:40 GMT 2021","11204","python-tests","test_login","","","","test_logging_in",""
"broken","Sat Jul 24 20:45:42 GMT 2021","Sat Jul 24 20:45:49 GMT 2021","7457","python-tests","test_registration","","","","test_reg",""
