"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Jul 24 21:26:52 GMT 2021","Sat Jul 24 21:26:53 GMT 2021","1094","python-tests","test_login","","","","test_decline_cookies",""
"passed","Sat Jul 24 21:27:06 GMT 2021","Sat Jul 24 21:27:14 GMT 2021","7522","python-tests","test_registration","","","","test_reg",""
"broken","Sat Jul 24 21:26:53 GMT 2021","Sat Jul 24 21:27:05 GMT 2021","11181","python-tests","test_login","","","","test_logging_in",""
