"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 11 20:17:47 GMT 2021","Wed Aug 11 20:17:55 GMT 2021","7574","python-tests","test_006_new_article","","","","test_new_article",""
"passed","Wed Aug 11 20:17:36 GMT 2021","Wed Aug 11 20:17:39 GMT 2021","3073","python-tests","test_003_logout","","","","test_logout",""
"passed","Wed Aug 11 20:17:55 GMT 2021","Wed Aug 11 20:18:01 GMT 2021","6246","python-tests","test_007_edit_article","","","","test_editing",""
"passed","Wed Aug 11 20:17:21 GMT 2021","Wed Aug 11 20:17:23 GMT 2021","2123","python-tests","test_001_decline_cookies","","","","test_decline_cookies",""
"passed","Wed Aug 11 20:17:45 GMT 2021","Wed Aug 11 20:17:47 GMT 2021","2085","python-tests","test_005_paginate","","","","test_paginate",""
"passed","Wed Aug 11 20:18:01 GMT 2021","Wed Aug 11 20:18:05 GMT 2021","4294","python-tests","test_008_delete_article","","","","test_delete",""
"passed","Wed Aug 11 20:17:39 GMT 2021","Wed Aug 11 20:17:45 GMT 2021","6307","python-tests","test_004_login","","","","test_logging_in",""
"passed","Wed Aug 11 20:17:23 GMT 2021","Wed Aug 11 20:17:36 GMT 2021","12799","python-tests","test_002_registration","","","","test_reg",""
