"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 13 08:22:10 GMT 2021","Fri Aug 13 08:22:22 GMT 2021","12589","python-tests","test_002_registration","","","","test_reg",""
"passed","Fri Aug 13 08:22:28 GMT 2021","Fri Aug 13 08:22:34 GMT 2021","6264","python-tests","test_004_login","","","","test_logging_in",""
"passed","Fri Aug 13 08:22:54 GMT 2021","Fri Aug 13 08:23:15 GMT 2021","20866","python-tests","test_010_posting_from_file","","","","test_posting_from_file",""
"passed","Fri Aug 13 08:22:08 GMT 2021","Fri Aug 13 08:22:10 GMT 2021","2104","python-tests","test_001_decline_cookies","","","","test_decline_cookies",""
"passed","Fri Aug 13 08:22:44 GMT 2021","Fri Aug 13 08:22:50 GMT 2021","6227","python-tests","test_008_edit_article","","","","test_editing",""
"passed","Fri Aug 13 08:22:22 GMT 2021","Fri Aug 13 08:22:28 GMT 2021","5215","python-tests","test_003_logout","","","","test_logout",""
"passed","Fri Aug 13 08:22:34 GMT 2021","Fri Aug 13 08:22:34 GMT 2021","10","python-tests","test_005_list_articles","","","","test_list_articles",""
"passed","Fri Aug 13 08:22:50 GMT 2021","Fri Aug 13 08:22:54 GMT 2021","4278","python-tests","test_009_delete_article","","","","test_delete",""
"passed","Fri Aug 13 08:22:34 GMT 2021","Fri Aug 13 08:22:36 GMT 2021","2085","python-tests","test_006_paginate","","","","test_paginate",""
"passed","Fri Aug 13 08:22:36 GMT 2021","Fri Aug 13 08:22:44 GMT 2021","7538","python-tests","test_007_new_article","","","","test_new_article",""
