"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 13 08:09:04 GMT 2021","Fri Aug 13 08:09:10 GMT 2021","6223","python-tests","test_008_edit_article","","","","test_editing",""
"passed","Fri Aug 13 08:08:28 GMT 2021","Fri Aug 13 08:08:30 GMT 2021","2125","python-tests","test_001_decline_cookies","","","","test_decline_cookies",""
"passed","Fri Aug 13 08:08:43 GMT 2021","Fri Aug 13 08:08:48 GMT 2021","5232","python-tests","test_003_logout","","","","test_logout",""
"passed","Fri Aug 13 08:08:30 GMT 2021","Fri Aug 13 08:08:43 GMT 2021","12660","python-tests","test_002_registration","","","","test_reg",""
"passed","Fri Aug 13 08:09:10 GMT 2021","Fri Aug 13 08:09:14 GMT 2021","4284","python-tests","test_009_delete_article","","","","test_delete",""
"passed","Fri Aug 13 08:08:48 GMT 2021","Fri Aug 13 08:08:54 GMT 2021","6255","python-tests","test_004_login","","","","test_logging_in",""
"passed","Fri Aug 13 08:08:54 GMT 2021","Fri Aug 13 08:08:54 GMT 2021","10","python-tests","test_005_list_articles","","","","test_list_articles",""
"passed","Fri Aug 13 08:08:54 GMT 2021","Fri Aug 13 08:08:56 GMT 2021","2079","python-tests","test_006_paginate","","","","test_paginate",""
"passed","Fri Aug 13 08:08:56 GMT 2021","Fri Aug 13 08:09:04 GMT 2021","7553","python-tests","test_007_new_article","","","","test_new_article",""
