"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Jul 24 20:15:25 GMT 2021","Sat Jul 24 20:15:26 GMT 2021","1092","python-tests","test_login","","","","test_decline_cookies",""
"broken","Sat Jul 24 20:15:27 GMT 2021","Sat Jul 24 20:15:38 GMT 2021","11232","python-tests","test_login","","","","test_logging_in",""
"broken","Sat Jul 24 20:15:40 GMT 2021","Sat Jul 24 20:15:47 GMT 2021","7480","python-tests","test_registration","","","","test_reg",""
