"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 31 20:35:24 GMT 2021","Sat Jul 31 20:35:31 GMT 2021","7375","python-tests","test_registration","","","","test_reg",""
"passed","Sat Jul 31 20:35:09 GMT 2021","Sat Jul 31 20:35:15 GMT 2021","6300","python-tests","test_login","","","","test_logging_in",""
"passed","Sat Jul 31 20:35:07 GMT 2021","Sat Jul 31 20:35:09 GMT 2021","2083","python-tests","test_login","","","","test_decline_cookies",""
"broken","Sat Jul 31 20:35:17 GMT 2021","Sat Jul 31 20:35:22 GMT 2021","5068","python-tests","test_login","","","","test_new_article",""
"passed","Sat Jul 31 20:35:15 GMT 2021","Sat Jul 31 20:35:17 GMT 2021","2089","python-tests","test_login","","","","test_paginate",""
